t_s,x_m,y_m
0.0,0.0,0.0
0.002,6e-06,7.539028633001244e-05
0.004,1.2e-05,0.00015073295453930867
0.006,1.8e-05,0.00022598041658379817
0.008,2.4e-05,0.0003010851445536447
0.01,3e-05,0.0003759997006929128
0.012,3.6e-05,0.0004506767673622712
0.014,4.2000000000000004e-05,0.0005250691769258281
0.016,4.8e-05,0.0005991299415432211
0.018000000000000002,5.4000000000000005e-05,0.0006728122828481436
0.02,6e-05,0.0007460696614945644
0.022,6.599999999999999e-05,0.0008188558065519755
0.024,7.2e-05,0.0008911247447311048
0.026000000000000002,7.800000000000001e-05,0.0009628308294216286
0.028,8.400000000000001e-05,0.0010339287695235511
0.03,8.999999999999999e-05,0.0011043736580540339
0.032,9.6e-05,0.0011741210005116072
0.034,0.00010200000000000001,0.0012431267429798526
0.036000000000000004,0.00010800000000000001,0.0013113472999527987
0.038,0.000114,0.0013787395818644634
0.04,0.00012,0.001445261022305146
0.042,0.000126,0.0015108696049072824
0.044,0.00013199999999999998,0.0015755238898838867
0.046,0.000138,0.0016391830402028074
0.048,0.000144,0.0017018068473802696
0.05,0.00015000000000000001,0.0017633557568774196
0.052000000000000005,0.00015600000000000002,0.0018237908930838166
0.054,0.000162,0.0018830740838721015
0.056,0.00016800000000000002,0.0019411678847083328
0.058,0.000174,0.001998035602302755
0.06,0.00017999999999999998,0.002053641317786066
0.062,0.000186,0.0021079499093965477
0.064,0.000192,0.002160927074663721
0.066,0.00019800000000000002,0.002212539352074522
0.068,0.00020400000000000003,0.002262754142208311
0.07,0.00021000000000000004,0.0023115397283273676
0.07200000000000001,0.00021600000000000002,0.0023588652964098566
0.074,0.000222,0.0024047009546126295
0.076,0.000228,0.002449017752151552
0.078,0.000234,0.0024917876975874375
0.08,0.00024,0.002532983776506045
0.082,0.000246,0.002572579968580957
0.084,0.000252,0.002610551264008577
0.08600000000000001,0.00025800000000000004,0.00264687367930486
0.088,0.00026399999999999997,0.002681524272453791
0.09,0.00027,0.002714481157398059
0.092,0.000276,0.0027457235178627525
0.094,0.000282,0.0027752316205033743
0.096,0.000288,0.002802986827369836
0.098,0.000294,0.002828971607678593
0.1,0.00030000000000000003,0.0028531695488854605
0.10200000000000001,0.000306,0.0028755653670521275
0.10400000000000001,0.00031200000000000005,0.0028961449164998216
0.106,0.000318,0.0029148951987440215
0.108,0.000324,0.0029318043707045804
