field,minimum,minimum_net,maximum,maximum_net,volume_average,volume_average_net,time_s,x_mm,y_mm,step
temperature,"{'Net': 300.0000000006412, 'fluid-1': 300.0000000006412}",300.0000000006412,"{'Net': 1299.0041708141, 'fluid-1': 1299.0041708141}",1299.0041708141,"{'Net': 303.2028743261419, 'fluid-1': 303.2028743261419}",303.2028743261419,0.1,0.30000000000000004,2.8531695488854605,2
liquid-fraction,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,0.1,0.30000000000000004,2.8531695488854605,2
temperature,"{'Net': 300.0000460385887, 'fluid-1': 300.0000460385887}",300.0000460385887,"{'Net': 1722.097961548469, 'fluid-1': 1722.097961548469}",1722.097961548469,"{'Net': 347.5314035959477, 'fluid-1': 347.5314035959477}",347.5314035959477,1.0,3.0,-1.469576158976824e-15,20
liquid-fraction,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 0.7199203539253968, 'fluid-1': 0.7199203539253968}",0.7199203539253968,"{'Net': 6.15476688764829e-05, 'fluid-1': 6.15476688764829e-05}",6.15476688764829e-05,1.0,3.0,-1.469576158976824e-15,20
temperature,"{'Net': 300.0340611320412, 'fluid-1': 300.0340611320412}",300.0340611320412,"{'Net': 1745.035651703133, 'fluid-1': 1745.035651703133}",1745.035651703133,"{'Net': 403.2717089626187, 'fluid-1': 403.2717089626187}",403.2717089626187,2.0,6.0,-2.939152317953648e-15,40
liquid-fraction,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 1.0, 'fluid-1': 1.0}",1.0,"{'Net': 0.0002067882400092056, 'fluid-1': 0.0002067882400092056}",0.0002067882400092056,2.0,6.0,-2.939152317953648e-15,40
temperature,"{'Net': 300.7393323473681, 'fluid-1': 300.7393323473681}",300.7393323473681,"{'Net': 1771.630282069561, 'fluid-1': 1771.630282069561}",1771.630282069561,"{'Net': 459.0707279408701, 'fluid-1': 459.0707279408701}",459.0707279408701,3.0,9.000000000000002,-4.408728476930471e-15,60
liquid-fraction,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 1.0, 'fluid-1': 1.0}",1.0,"{'Net': 0.0003396303556015015, 'fluid-1': 0.0003396303556015015}",0.0003396303556015015,3.0,9.000000000000002,-4.408728476930471e-15,60
temperature,"{'Net': 304.7110317372441, 'fluid-1': 304.7110317372441}",304.7110317372441,"{'Net': 1797.165760931573, 'fluid-1': 1797.165760931573}",1797.165760931573,"{'Net': 514.9059890065191, 'fluid-1': 514.9059890065191}",514.9059890065191,4.0,12.0,-5.878304635907296e-15,80
liquid-fraction,"{'Net': 0.0, 'fluid-1': 0.0}",0.0,"{'Net': 1.0, 'fluid-1': 1.0}",1.0,"{'Net': 0.0004249151455602345, 'fluid-1': 0.0004249151455602345}",0.0004249151455602345,4.0,12.0,-5.878304635907296e-15,80
